a;b;c
Nedašova_Lhota;15719;5424
Brušperk;15904;5467
Sedlnice;15890;5426
Tìšice;15623;5117
Domašov_nad_Bystøicí;15918;5234
Seloutky;15821;5119
Stará_Rudná;16009;5216
Popice;15623;4805
Znojmo;15634;4815
Dolní_Smrov;15869;4967
Køetín;15860;4951
Radimìø;15904;4932
Moravskı_Karlov;16009;5033
Plaèovice;15669;4663
Viska;15767;4703
Dyjièka;15740;4651
Sokolièko;15776;4682
Zalíbené;15909;4770
Rotenkreuz;15829;4680
Metánov;15774;4551
Dolní_Mìsto;15881;4615
Nìmecko;15866;4592
Dolní_Rybníky;16145;4845
Nouzín;16111;4809
Eš;15819;4500
Suchovršice;16167;4799
Munice;15700;4322
Zdebuzeves;15929;4488
Horní_Lyseèiny;16223;4749
Radkynì;16152;4668
Vodòanské_Svobodné_Hory;15722;4237
Øepešín;15680;4173
Rukáveè;15815;4297
Houna;15656;4137
Zebín;16145;4612
Mašov;15851;4302
Nadslav;16135;4578
Podmoklice;16194;4598
Domousnice;16126;4530
Velká_Turná;15789;4188
Sobìšice;15746;4105
Chramištì;15925;4282
Hrnèíøe;15999;4355
Jizerka;16262;4605
Reèkov;16158;4467
Kasejovice;15828;4122
Skramouš;16143;4400
Jenichov;16120;4376
Louèany;15786;3982
Drslavice;15814;3966
Radonice;15826;3900
Nové_Kopisty;16161;4235
Pøední_Lhota;16225;4261
Vilsnice;16240;4253
Køeèov;15992;3997
Tisá;16251;4209
Pøeskaky;16106;4025
Klimentov;15990;3801
Hroznìtín;16099;3862
Mariánská;16114;3869
Sokolov;16058;3792
Høebeèná;16122;3849
Potoèištì;16031;3734
Rolava;16122;3783
Poèátky;16101;3727
Svatoboøice;15675;513
Lesoòovice;15846;489
Matìjov;15849;476
Stará_Vrá;15803;424
Vadín;15878;465
Bubovice;15857;418
Razová;15978;526
Pøemilov;15937;471
Bor_u_Chroustovic;15977;480
Pelíkovice;16215;454
Hrèava;158465;56497
Kubalanka;158488;56367
Bahenec;158664;56475
Mosty_u_Jablunkova;158488;56263
Vyšní_Lísky;158584;56324
ihla;158630;56363
Velká_Louka;158503;56172
Jablunkov;158646;56294
Horní_Lomná;158493;55915
Nıdek;158899;56271
Košaøiska;158723;56082
Kamenitı;158598;55943
Èakanov;156880;54187
Dibalka;158095;55399
Karpentná;158843;56093
Vendrynì;158933;56139
HuSvatého_Štìpána;156907;54100
Jeanky;158470;55648
Èerné_Vroble;158290;55462
Petrova_Studnì;156970;54141
Tyra;158789;55944
Svatı_Štìpán;156953;54093
Salajka;158121;55253
Horní_Líštná;159016;56114
Lybice;158957;56040
Nedašov;157145;54211
Dolní_Líštná;158999;56061
Uspolka;158600;55656
Tøinec;158968;56012
Kyèera;158148;55186
Staré_Hamry;158312;55337
Hlavatá;158133;55150
Nìmèanka;158240;55241
Bylnice;157038;54034
Malé_Karlovice;157911;54895
Kaluz;157867;54850
írce;156972;53950
Vyškovec;156609;53557
Košuti;157846;54756
itková;156737;53641
Starı_Hrozenkov;156691;53589
Velké_Karlovice;157954;54851
Kochavec;156920;53815
Msadla;158136;55025
Francova_Lhota;157446;54335
Velkı_Lipovı;158748;55634
Velkı;158348;55217
Nebory;158974;55843
Morávka;158707;55574
Vlaskı;158679;55527
Bøestovı;158331;55172
Valašské_Pøíkazy;157331;54161
Valašská_Senice;157521;54351
Vápenice;156697;53524
Plánisko;157791;54605
Poteè;157294;54106
Malı_Lipovı;158763;55573
Horní_Lideè;157380;54183
Straòanské_Hutì;156403;53201
Ropice;159057;55840
Na_Mirèici;158176;54931
Lopeník;156625;53374
Pajurcanky;158312;55035
Novı_Hrozenkov;157878;54594
Pramo;158748;55459
Svibice;159140;55849
Martínek;158197;54902
Èeskı_Tìšín;159188;55878
Smolina;157306;53989
Horní_Beèva;158183;54866
Komorní_Lhotka;158906;55583
Dolní_ukov;159105;55773
Divinice;157081;53738
Devínska_Nová_Ves;154293;50950
Raškovice;158783;55419
Strání;156487;53120
Hrádek_na_Vláraké_Dráze;157044;53675
Raène;157459;54089
Komòa;156780;53402
Horní_ukov;159097;55699
Zdìchov;157635;54233
Vlachova_Lhota;157280;53860
Tichov;157368;53948
Krásná_-_pod_Krásnou;158745;55320
Horní_Tøanovice;159048;55615
Dobratice;158913;55477
Na_Skále;158269;54822
Mistøovice;159192;55740
Slavièín;157082;53620
Vyšní_Lhoty;158835;55371
Bojkovice;156924;53445
Solanec_pod_Solánìm;158153;54665
Koòákov;159157;55665
Podstupnì;158316;54816
Horní_Tošanovice;159016;55516
Vápenky;156400;52894
Osièí;157435;53928
Dolní_Tošanovice;158989;55465
Støíbrník;157703;54178
Záhorovice;156873;53338
Èeladná;158556;55013
Chotìbuz;159259;55707
Ploština;157434;53877
Niní_Lhoty;158868;55310
Suchá_Loz;156704;53141
Hovìzí;157772;54182
Stanislavice;159227;55635
Hovízky;157795;54199
Bánov;156762;53153
Bukeryše;158027;54400
Nošovice;158914;55279
Dolní_Domaslavice;159071;55432
Valašská_Polanka;157639;53990
Volovec;159110;55460
Vigantice;158220;54552
Dolní_Beèva;158256;54583
Pozdìchov;157546;53866
Pøeèkovice;157027;53343
Dvùr_Kostelník;158507;54800
Na_Nivì;157376;53660
Metylovice;158741;55017
Janová;157799;54060
Horní_Sobìšovice;159131;55391
Baška;158867;55117
Slopné;157302;53541
Hodoòovice;158832;55063
Seninka;157674;53895
Kunèièky_u_Bašky;158869;55088
Sehradice;157262;53472
Valašská_Bystøice;158128;54329
Dolní_Sobìšovice;159114;55312
Tylovice;158256;54452
Suchov;156504;52690
Darkov;159483;55664
ermanice;159163;55328
Prostøední_Bludovice;159229;55392
Stonava;159414;55576
Ronov_pod_Radhoštìm;158267;54429
Ublo;157546;53703
Luhaèovice;157119;53272
Kršle;158071;54221
Mizerov;159543;55681
Bruzovice;159094;55229
Polichno;157013;53128
Kuelov;156351;52466
Palkovice;158831;54945
Lhota_u_Vsetína;157775;53874
Pozlovice;157213;53308
Lutonina;157563;53648
Frenštát_pod_Radhoštìm;158555;54632
Vidèe;158213;54284
Jasenka;157931;54001
V_Lúku;157686;53747
Uherskı_Brod;156880;52941
Vizovice;157513;53564
Hrubá_Vrbka;156390;52431
Janišov;157855;53894
Liptál;157730;53765
Øetechov;157218;53247
Havíøov;159295;55311
Ludkovice;157167;53180
Mìrkovice;158724;54722
Blatnièka;156594;52590
Prostøední_Suchá;159364;55355
Václavovice_u_Frıdku;159174;55162
Dolní_Datynì;159235;55222
Sviadnov;159006;54983
Petrovice_u_Karviné;159667;55643
Karviná-Doly;159502;55475
Prádlisko;157236;53199
Zelinkovice;158923;54876
Kaòovice;157149;53096
Údolí_Semetín;157926;53861
Rùïka;158061;53987
Prstná;159721;55644
Bordovice;158550;54458
"Lichnov_(o;_Novı_Jièín)";158606;54507
Lipov;156496;52385
Vlèovice;158693;54575
Høivínùv_Újezd;157198;53076
Dolní_Sklenov;158814;54688
Hukvaldy;158796;54666
Šumbark;159346;55214
Velkı_Oøechov;157150;53005
abeò;159068;54913
Neubuz;157633;53476
Jablùnka;158027;53851
Staøíè;158995;54818
Veøovice;158525;54343
Hluk;156762;52580
Koukolná;159635;55449
Rakovec;159215;55024
Øepištì;159147;54951
Rychaltice;158849;54651
Bystøièka;158129;53922
Prno;158040;53829
Hradèovice;156959;52746
Orlová;159505;55290
Kelníky;157155;52934
Sıkorec;158739;54508
Bròov;158199;53961
Knìdub;156437;52186
Hroznová_Lhota;156505;52251
elechovice_nad_Døevnicí;157496;53234
Fryèovice;158934;54670
Hájov;158838;54570
Nové_Paseky;157384;53114
